Assignment..Homework..1..Real.,Assignment..Homework..1.R.Code..Real.,Assignment..Homework..2..Real.,Assignment..Homework..1.Correction..Real.,Assignment..Homework..2.R.Code..Real.,Assignment..Homework..2.Correction..Real.,Assignment..Homework..3..Real.,Assignment..Quiz.1..Real.,Assignment..Homework..3.Correction..Real.,Assignment..Homework..4..Real.,Assignment..Homework..4.Correction..Real.,Assignment..Homework..5..Real.,Assignment..Homework..5.Correction..Real.,Assignment..Quiz.2..Real.,Assignment..Homework..6..Real.,Assignment..Homework..6.R.Code..Real.,Course.total..Real.
110.33,NA,76,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,10,NA,NA,95.93
78,NA,75,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,9.5,NA,NA,76.76
11.4,NA,32.5,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,5.5,NA,NA,27.42
113,NA,77,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,9.5,NA,NA,96.01
110,NA,80,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,8,NA,NA,96.01
89.67,NA,80,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,8.5,NA,NA,88.34
113,NA,73,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,NA,96.24
0,NA,67,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,6.5,NA,NA,37.79
107,NA,80,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,97.18
103.67,NA,74.5,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,9,NA,NA,91.16
113,NA,73,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,9,NA,NA,95.31
109,NA,74,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,9,NA,NA,93.43
113,NA,63,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,7,NA,NA,89.67
110.33,NA,78.5,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,NA,NA,92.41
113,NA,78,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,97.54
101,NA,70,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,NA,NA,87.79
101.83,NA,80,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9.5,NA,NA,94.52
108.33,NA,77,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,8.5,NA,NA,93.11
113,NA,80,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,9.5,NA,NA,98.83
110.33,NA,29,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,NA,74.33
0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
107,NA,77,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,95.77
70.33,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,39.12
